DateTime,AddedIPs,RemovedIPs
1536900755,79,318
1536902694,175,62
1536904604,69,54
1536906537,67,94
1536908495,87,57
1536910631,71,42
1536912562,43,77
1536914479,78,45
1536916371,61,63
1536918293,152,57
1536920236,171,40
1536922110,119,50
1536924080,110,58
1536925962,420,47
1536928139,86,80
1536930104,73,75
1536931976,65,41
1536933882,46,90
1536935784,62,94
1536937752,66,112
1536939903,75,85
1536941813,59,57
1536943728,65,83
1536945653,129,127
1536947574,179,39
1536949486,70,35
1536951404,60,92
1536953341,89,52
1536955289,67,33
1536957169,48,145
1536959101,79,40
1536961027,58,45
1536962934,48,35
1536964879,43,43
1536967033,63,53
1536968907,38,35
1536970859,40,47
1536972775,33,58
1536974700,76,41
1536976582,47,36
1536978510,41,62
1536980516,68,49
1536982388,230,51
1536984343,155,53
1536986194,44,47
1536988139,64,98
1536990064,100,98
1536992225,117,71
1536994364,42,42
1536996524,40,103
1536998505,86,32
1537000374,38,47
1537002294,53,91
1537004226,82,74
1537006134,39,83
1537008058,41,41
1537009967,45,43
1537011887,363,45
1537013850,798,55
1537015983,55,60
1537017887,41,57
1537019821,47,49
1537021718,51,54
1537023703,57,51
1537025567,43,56
1537027557,56,62
1537029650,38,64
1537031597,56,46
1537033479,56,146
1537035436,145,51
1537037306,76,48
1537039264,35,85
1537041178,79,68
1537043091,43,40
1537044988,37,61
1537046949,48,59
1537048948,61,42
1537050784,33,36
1537052688,46,59
1537054636,38,32
1537056548,27,35
1537058458,48,38
1537060359,35,56
1537062296,81,44
1537064207,89,37
1537066125,82,47
1537068053,81,446
1537069957,59,181
1537071894,58,42
1537073786,27,63
1537075749,43,56
1537077701,68,144
1537079577,130,58
1537081533,54,28
1537083532,37,78
1537085350,55,52
1537087248,51,39
1537089171,31,60
1537091359,78,64
1537093265,59,42
1537095156,50,38
1537097099,40,40
1537098999,32,869
1537100940,35,623
1537102892,562,49
1537104792,36,55
1537106715,94,43
1537108635,70,68
1537110550,51,43
1537112460,49,49
1537114410,39,54
1537116289,986,51
1537118216,37,52
1537120360,58,73
1537122263,86,172
1537124520,167,86
1537126362,49,37
1537128335,48,84
1537130194,135,65
1537132131,46,52
1537134034,36,75
1537136216,78,48
1537138145,65,62
1537140049,54,49
1537142199,79,48
1537144117,1804,50
1537146102,1973,41
1537147960,1884,41
1537149885,351,73
1537151834,78,70
1537153967,68,60
1537155918,51,75
1537157804,46,48
